id;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;target
1;1;17,2131;1;1;1;3;2;3;1;1;0;1;1;1;14;1;1;1;1;1;37;2250;1;1;1;9;1;40;13;32,76637021;0
2;35;0,1747;1;1;2;1;1;2;2;1;17;3;3;3;3;1;1;1;1;1;59;3488;1;1;1;10;1;12;23;210,5676688;0
3;1;4,4873;1;1;1;1;1;2;1;1;0;1;13;13;13;1;1;1;1;1;45;4050;1;1;1;9;1;36;7;9,380888651;0
4;2;55,1508;2;1;4;8;2;2;1;1;8;2;2;2;2;1;2;1;1;1;31;2700;1;1;1;9;1;36;11;20,44592302;1
5;10;0,0771;1;1;1;3;2;3;1;1;49;8;8;8;20;1;1;1;1;1;34;2970;1;1;1;12;1;36;10;36,2472423;0
6;12;23,4544;2;1;3;5;1;5;1;1;8;2;2;2;18;1;1;1;1;1;31;2970;1;1;1;10;1;36;10;28,61429805;0
7;1;23,9644;2;1;1;3;1;2;2;1;0;2;2;2;4;1;1;1;1;1;52;2493;1;1;1;9;1;24;20;8,397510731;0
8;1;391,1725;3;1;1;1;1;1;0;1;0;3;3;3;3;1;1;1;1;1;34;4320;1;1;1;10;1;24;12;0,0000685;0
9;43;228,9039;2;2;1;2;1;1;1;1;0;2;2;2;2;1;1;1;1;1;30;2500;1;1;1;12;1;31;12;19,61388684;0
10;1;11,3838;1;1;1;1;1;3;1;1;0;1;1;2;3;1;1;1;1;1;40;3000;1;1;1;10;1;12;20;0,000132373;0
11;2;36,2535;1;2;1;2;2;2;2;1;0;1;1;1;1;1;1;1;1;1;37;5482;1;1;1;11;1;60;13;7,763681383;0
12;1;48,2069;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;59;2493;1;1;1;10;1;36;16;6,033764761;0
13;1;10,9296;1;1;1;2;2;3;2;1;0;1;1;18;18;1;1;1;1;1;55;3488;1;1;1;12;1;36;17;0,580507553;0
14;1;181,8492;2;1;1;3;2;1;1;1;100;2;2;2;2;1;1;1;1;1;41;5000;1;1;1;12;1;60;10;7,73671818;1
15;1;26,2751;5;2;1;2;2;2;1;1;25;5;5;5;11;1;1;1;1;1;50;2493;1;1;1;10;1;24;20;9,595696964;0
16;2;12,9867;1;1;2;2;1;1;1;1;70;1;1;2;9;1;2;1;1;1;35;4238;1;1;1;8;1;24;12;25,996604;0
17;1;10,8413;4;2;1;2;2;2;3;1;0;4;4;8;8;1;1;1;1;1;49;3987;1;1;1;9;1;12;13;26,14357037;0
18;1;13,4786;1;1;1;1;1;2;1;1;0;1;1;2;2;1;1;1;1;1;52;5000;1;1;1;7;1;60;16;47,53096239;0
19;1;5,7962;1;1;1;1;1;1;1;1;11;1;3;3;4;1;1;1;1;1;57;4486;1;1;1;8;1;60;13;0,00012526;0
20;1;30,1024;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;50;4050;1;1;1;10;1;27;12;4,032722961;0
21;3;628,0978;2;1;1;1;1;1;1;1;0;2;2;2;2;1;1;1;1;1;35;2826;1;1;1;7;1;36;18;24,89438619;0
22;1;18,9892;2;2;3;5;5;3;2;1;15;2;2;2;25;1;1;1;1;1;36;2874;1;1;1;10;1;24;17;22,08603634;0
23;22;501,2452;6;1;1;1;1;1;1;1;0;6;6;6;6;1;1;1;1;1;44;4985;1;1;1;10;1;24;10;87,16459571;0
24;1;55,9601;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;37;3488;1;1;1;9;1;12;14;7,953777193;0
25;1;224,2602;1;1;1;2;1;1;1;1;0;1;1;1;1;1;1;1;1;1;41;4320;1;1;1;13;1;60;12;5,318370364;1
26;1;5,2431;1;1;1;1;1;1;1;1;35;1;4;4;4;1;1;1;1;1;47;5400;1;1;1;9;1;60;13;0,000205013;0
27;2;0,0667;2;2;1;1;1;2;0;1;0;12;12;12;12;1;3;1;1;1;43;2493;1;1;1;10;1;24;20;11,8793192;0
28;1;21,0357;1;2;3;3;2;2;3;1;0;1;1;1;46;1;1;1;1;1;41;2493;1;1;1;12;1;12;24;7,472549523;0
29;1;84,1615;1;1;1;2;2;1;1;1;0;1;1;1;1;1;1;1;1;1;50;2600;1;1;1;12;1;24;31;0,000143593;0
30;1;6,7227;1;2;1;6;1;1;1;1;0;1;2;2;2;1;1;1;1;1;32;5238;1;1;1;12;1;64;10;7,095089876;0
31;38;11,4304;1;1;2;3;2;4;1;1;27;1;1;4;5;1;1;1;1;1;46;2538;1;1;1;12;1;25;20;7,535368255;0
32;48;11,5995;1;1;1;2;2;3;1;1;35;1;1;12;12;1;1;1;1;1;36;3780;1;1;1;9;1;39;13;11,01285206;1
33;40;0,0173;1;1;1;1;1;2;1;1;117;2;2;2;2;1;1;1;1;1;36;3240;1;1;1;10;1;69;12;17,22520296;0
34;15;0,2545;1;1;2;1;1;2;1;1;8;4;13;13;13;1;1;1;1;1;34;3240;1;1;1;9;1;24;15;26,69460725;0
35;1;17,4512;1;1;2;3;2;2;1;1;0;1;1;1;2;1;1;1;1;1;51;4322;1;1;1;9;1;47;12;8,843483641;1
36;1;11,6318;1;1;1;2;1;2;1;1;75;1;1;2;2;1;1;1;1;1;30;3500;1;1;1;9;1;26;14;0,000169561;0
37;16;7,1199;1;1;2;2;2;2;1;1;0;1;1;2;2;1;1;1;1;1;34;4000;1;1;1;12;1;16;13;19,79662531;0
38;6;6,269;1;3;1;2;2;3;2;1;0;1;16;16;35;1;3;1;1;1;58;3780;1;1;1;10;1;47;13;6,670059381;0
39;1;54,8371;2;1;1;1;1;2;1;1;0;2;2;2;2;1;1;1;1;1;36;5000;1;1;1;10;1;60;10;6,995142614;0
40;2;0,0845;1;1;1;5;1;8;2;1;22;6;8;8;8;1;1;1;1;1;44;2443;1;1;1;10;1;67;25;30,3058338;1
